sqrt_s_GeV,mode,t_GeV2,dt_min_GeV2,dt_max_GeV2,dsig_dt_mb_GeV2,err_stat_plus,err_stat_minus,err_sys_plus,err_sys_minus,err_total_plus,err_total_minus,paper_ins
16.261,pbarp,0.13,0.0,0.0,17.54,1.15,1.15,0.5262,0.5262,1.264668509926613,1.264668509926613,ins110409
16.261,pbarp,0.15,0.0,0.0,14.5,0.84,0.84,0.435,0.435,0.9459519015256536,0.9459519015256536,ins110409
16.261,pbarp,0.17,0.0,0.0,13.48,1.58,1.58,0.4044,0.4044,1.6309320525392836,1.6309320525392836,ins110409
16.261,pbarp,0.2,0.0,0.0,8.52,1.04,1.04,0.2556,0.2556,1.0709488129691354,1.0709488129691354,ins110409
16.261,pbarp,0.25,0.0,0.0,5.03,0.54,0.54,0.1509,0.1509,0.560687800830373,0.560687800830373,ins110409
16.261,pbarp,0.35,0.0,0.0,1.61,0.6,0.6,0.0483,0.0483,0.6019409356406988,0.6019409356406988,ins110409
16.261,pbarp,0.4,0.0,0.0,1.26,0.17,0.17,0.0378,0.0378,0.17415177288790373,0.17415177288790373,ins110409
16.261,pbarp,0.5,0.0,0.0,0.35,0.13,0.13,0.010499999999999999,0.010499999999999999,0.13042334913657141,0.13042334913657141,ins110409
16.261,pbarp,0.6,0.0,0.0,0.22,0.1,0.1,0.0066,0.0066,0.10021756333098507,0.10021756333098507,ins110409
18.168,pp,0.075,0.0,0.0,33.12,0.46,0.46,0.9935999999999999,0.9935999999999999,1.0949159602453513,1.0949159602453513,ins110409
18.168,pp,0.11,0.0,0.0,24.22,0.64,0.64,0.7265999999999999,0.7265999999999999,0.9682703961187701,0.9682703961187701,ins110409
18.168,pp,0.15,0.0,0.0,15.06,0.47,0.47,0.4518,0.4518,0.6519380645429441,0.6519380645429441,ins110409
18.168,pp,0.17,0.0,0.0,11.3,0.42,0.42,0.339,0.339,0.5397416048443922,0.5397416048443922,ins110409
18.168,pp,0.2,0.0,0.0,8.54,0.38,0.38,0.2562,0.2562,0.45829950905494105,0.45829950905494105,ins110409
18.168,pp,0.25,0.0,0.0,5.27,0.05,0.05,0.1581,0.1581,0.16581800264145025,0.16581800264145025,ins110409
18.168,pp,0.3,0.0,0.0,3.22,0.06,0.06,0.0966,0.0966,0.11371701719619629,0.11371701719619629,ins110409
18.168,pp,0.35,0.0,0.0,2.07,0.04,0.04,0.062099999999999995,0.062099999999999995,0.0738675165414406,0.0738675165414406,ins110409
18.168,pp,0.4,0.0,0.0,1.24,0.03,0.03,0.0372,0.0372,0.0477895386041757,0.0477895386041757,ins110409
18.168,pp,0.45,0.0,0.0,0.75,0.03,0.03,0.0225,0.0225,0.0375,0.0375,ins110409
18.168,pp,0.5,0.0,0.0,0.48,0.03,0.03,0.0144,0.0144,0.03327701909726891,0.03327701909726891,ins110409
18.168,pp,0.55,0.0,0.0,0.28,0.02,0.02,0.008400000000000001,0.008400000000000001,0.021692394980729997,0.021692394980729997,ins110409
18.168,pp,0.6,0.0,0.0,0.23,0.02,0.02,0.0069,0.0069,0.021156795598577777,0.021156795598577777,ins110409
18.168,pp,0.65,0.0,0.0,0.13,0.01,0.01,0.0039,0.0039,0.010733592129385204,0.010733592129385204,ins110409
18.168,pp,0.75,0.0,0.0,0.06,0.01,0.01,0.0018,0.0018,0.01016070863670443,0.01016070863670443,ins110409
9.776,pp,0.0375,0.0,0.0,51.48,0.74,0.74,1.5443999999999998,1.5443999999999998,1.7125336084293352,1.7125336084293352,ins110409
